File: FE2.TRK
Size: 37330944 bytes

reached end of file!
Chunk 535 0 | SHOC | (60 bytes)
Chunk 536 0 | FILL | (1972 bytes)
Chunk 537 0 | SHOC | (5580 bytes)
Chunk 538 0 | SHOC | (60 bytes)
Chunk 539 0 | SHOC | (5532 bytes)
Chunk 540 0 | SHOC | (60 bytes)
Chunk 541 0 | SHOC | (5968 bytes)
Chunk 542 0 | SHOC | (60 bytes)
Chunk 543 0 | SHOC | (5464 bytes)
Chunk 544 0 | SHOC | (60 bytes)
Chunk 545 0 | FILL | (1792 bytes)
Chunk 546 0 | SHOC | (5528 bytes)
Chunk 547 0 | SHOC | (60 bytes)
Chunk 548 0 | SHOC | (5616 bytes)
Chunk 549 0 | SHOC | (60 bytes)
Chunk 550 0 | SHOC | (7328 bytes)
Chunk 551 0 | SHOC | (60 bytes)
Chunk 552 0 | FILL | (5924 bytes)
Chunk 553 0 | SHOC | (7696 bytes)
Chunk 554 0 | SHOC | (60 bytes)
Chunk 555 0 | SHOC | (7928 bytes)
Chunk 556 0 | SHOC | (60 bytes)
Chunk 557 0 | SHOC | (5636 bytes)
Chunk 558 0 | SHOC | (60 bytes)
Chunk 559 0 | FILL | (3136 bytes)
Chunk 560 0 | SHOC | (6152 bytes)
Chunk 561 0 | SHOC | (60 bytes)
Chunk 562 0 | SHOC | (6256 bytes)
Chunk 563 0 | SHOC | (60 bytes)
Chunk 564 0 | SHOC | (6784 bytes)
Chunk 565 0 | SHOC | (60 bytes)
Chunk 566 0 | FILL | (5204 bytes)
Chunk 567 0 | SHOC | (6408 bytes)
Chunk 568 0 | SHOC | (60 bytes)
Chunk 569 0 | SHOC | (7564 bytes)
Chunk 570 0 | SHOC | (60 bytes)
Chunk 571 0 | SHOC | (6704 bytes)
Chunk 572 0 | SHOC | (60 bytes)
Chunk 573 0 | FILL | (3720 bytes)
Chunk 574 0 | SHOC | (6684 bytes)
Chunk 575 0 | SHOC | (60 bytes)
Chunk 576 0 | SHOC | (7376 bytes)
Chunk 577 0 | SHOC | (60 bytes)
Chunk 578 0 | SHOC | (6256 bytes)
Chunk 579 0 | SHOC | (60 bytes)
Chunk 580 0 | FILL | (4080 bytes)
Chunk 581 0 | SHOC | (6276 bytes)
Chunk 582 0 | SHOC | (60 bytes)
Chunk 583 0 | SHOC | (6868 bytes)
Chunk 584 0 | SHOC | (60 bytes)
Chunk 585 0 | SHOC | (5296 bytes)
Chunk 586 0 | SHOC | (60 bytes)
Chunk 587 0 | FILL | (5956 bytes)
